"Provinsi","Angka_Keluhan"
"ACEH","32.91"
"SUMATERA UTARA","30.01"
"SUMATERA BARAT","28.12"
"RIAU","27.07"
"JAMBI","25.87"
"SUMATERA SELATAN","32.3"
"BENGKULU","26.66"
"LAMPUNG","32.52"
"KEP. BANGKA BELITUNG","35.11"
"KEP. RIAU","18.41"
"DKI JAKARTA","16.76"
"JAWA BARAT","31.17"
"JAWA TENGAH","35.34"
"DI YOGYAKARTA","35.73"
"JAWA TIMUR","32.14"
"BANTEN","24.09"
"BALI","20.45"
"NUSA TENGGARA BARAT","43.62"
"NUSA TENGGARA TIMUR","29.06"
"KALIMANTAN BARAT","25.3"
"KALIMANTAN TENGAH","24.32"
"KALIMANTAN SELATAN","31.88"
"KALIMANTAN TIMUR","26.46"
"KALIMANTAN UTARA","34.87"
"SULAWESI UTARA","23.31"
"SULAWESI TENGAH","21.93"
"SULAWESI SELATAN","33.49"
"SULAWESI TENGGARA","30.98"
"GORONTALO","35.85"
"SULAWESI BARAT","29.53"
"MALUKU","15.6"
"MALUKU UTARA","16.41"
"PAPUA BARAT","20"
"PAPUA","11.68"
"INDONESIA","29.94"
