"Provinsi","Jumlah_Penduduk"
"ACEH","540920"
"SUMATERA UTARA","1518050"
"SUMATERA BARAT","567760"
"RIAU","655580"
"JAMBI","363320"
"SUMATERA SELATAN","864730"
"BENGKULU","205940"
"LAMPUNG","449660"
"KEPULAUAN BANGKA BELITUNG","149200"
"KEPULAUAN RIAU","212150"
"DKI JAKARTA","1064000"
"JAWA BARAT","4930680"
"JAWA TENGAH","3718040"
"DI YOGYAKARTA","371260"
"JAWA TIMUR","4123000"
"BANTEN","1216700"
"BALI","437430"
"NUSA TENGGARA BARAT","547400"
"NUSA TENGGARA TIMUR","548180"
"KALIMANTAN BARAT","554970"
"KALIMANTAN TENGAH","273720"
"KALIMANTAN SELATAN","417020"
"KALIMANTAN TIMUR","385680"
"KALIMANTAN UTARA","72010"
"SULAWESI UTARA","266080"
"SULAWESI TENGAH","305120"
"SULAWESI SELATAN","926010"
"SULAWESI TENGGARA","270460"
"GORONTALO","119840"
"SULAWESI BARAT","145890"
"MALUKU","189510"
"MALUKU UTARA","131850"
"PAPUA BARAT","116840"
"PAPUA","442070"
