Provinsi,Jumlah_Balita,Angka_Stunting(Total),Stunting_Pendek,Stunting_Sangat_Pendek
ACEH,"415,223","33,235","24,944","8,291"
SUMATERA UTARA,"885,988","48,822","32,089","16,733"
SUMATERA BARAT,"348,522","35,958","27,846","8,112"
RIAU,"418,300","17,432","13,280","4,152"
JAMBI,"239,147","9,714","6,836","2,878"
SUMATERA SELATAN,"590,994","18,344","13,655","4,689"
BENGKULU,"116,001","5,602","4,656",946
LAMPUNG,"520,923","23,550","18,609","4,941"
KEPULAUAN BANGKA BELITUNG,"104,378","4,077","3,214",863
KEPULAUAN RIAU,"110,753","5,396","4,112","1,284"
DKI JAKARTA,"415,345","5,160","3,751","1,409"
JAWA BARAT,"3,219,522","221,065","166,920","54,145"
JAWA TENGAH,"1,964,618","184,364","144,013","40,351"
DI YOGYAKARTA,"168,523","15,452","12,240","3,212"
JAWA TIMUR,"2,007,261","190,128","142,628","47,500"
BANTEN,"781,607","53,354","32,675","20,679"
BALI,"156,831","6,983","5,503","1,480"
NUSA TENGGARA BARAT,"416,534","77,216","51,197","26,019"
NUSA TENGGARA TIMUR,"401,033","89,698","65,912","23,786"
KALIMANTAN BARAT,"273,461","44,457","31,931","12,526"
KALIMANTAN TENGAH,"150,999","15,300","10,961","4,339"
KALIMANTAN SELATAN,"255,436","23,829","18,218","5,611"
KALIMANTAN TIMUR,"119,419","16,141","11,935","4,206"
KALIMANTAN UTARA,"29,202","4,767","3,578","1,189"
SULAWESI UTARA,"133,139","3,080","2,443",637
SULAWESI TENGAH,"164,282","21,587","16,452","5,135"
SULAWESI SELATAN,"584,481","52,823","40,582","12,241"
SULAWESI TENGGARA,"177,593","19,610","14,498","5,112"
GORONTALO,"81,871","6,132","4,581","1,551"
SULAWESI BARAT,"99,033","22,903","17,247","5,656"
MALUKU,"104,225","10,251","7,678","2,573"
MALUKU UTARA,"59,085","7,245","5,578","1,667"
PAPUA BARAT,"35,551","4,238","3,081","1,157"
PAPUA,"38,912","3,524","2,646",878
